Client,Description,Date,Numero-de-classement
ABT ASSOCIATES SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1271
ACT AFRIQUE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1272
AECI,ASSISTANCE JURIDIQUE ET FISCALE,2014-2019,1273
TECH MAHINDRA LIMITED - SUCCURSALE BG3-420,ASSISTANCE JURIDIQUE ET FISCALE,2012-2019,1274
TECHNIP,ASSISTANCE JURIDIQUE ET FISCALE,2019,1275
TECHNOSUD,ASSISTANCE JURIDIQUE ET FISCALE,2019,1276
THERMAX,ASSISTANCE JURIDIQUE ET FISCALE,2019,1277
TVS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1278
TERMINAL PETROLIER DE DAKAR (TPD),ASSISTANCE JURIDIQUE ET FISCALE,2019,1279
VAN HESSEN,ASSISTANCE JURIDIQUE ET FISCALE,2018,1280
VESTAS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1281
WEIR MINERALS AFRICA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1282
WOODSIDE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1283
SPIS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1284
SPIE,ASSISTANCE JURIDIQUE ET FISCALE,2017-2019,1285
SYSTRA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1286
SUBSEA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1287
SAHE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1288
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1289
SEA INVEST (SISA),ASSISTANCE JURIDIQUE ET FISCALE,2019,1290
BNP PARIBAS - PROJET OHM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1291
BICIM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1292
BULK MINING EXPLOSIVES,ASSISTANCE JURIDIQUE ET FISCALE,2018-2019,1293
CAMACHO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1294
CAMPUS SAS ISM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1295
CAPRICORN,ASSISTANCE JURIDIQUE ET FISCALE,2019,1296
COMPAGNIE D'INVERTISSEMENT AGRICOLE (CIA),ASSISTANCE JURIDIQUE ET FISCALE,2018-2019,1297
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1298
CUMMINS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1299
CSTTAO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1300
DELOITTE SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1301
DELOITTE CONSULTING TANZANIE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1302
DELTA,ASSISTANCE JURIDIQUE ET FISCALE,2018-2019,1303
DELTA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1304
DIVERS CLIENTS,ASSISTANCE JURIDIQUE ET FISCALE,2017-2018-2019,1305
DIVERS CLIENTS,ASSISTANCE JURIDIQUE ET FISCALE,2017-2019,1306
AIBD,ASSISTANCE JURIDIQUE ET FISCALE,2019,1307
ALIA SASU,ASSISTANCE JURIDIQUE ET FISCALE,2019,1308
AMADOU DIALLO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1309
AMS SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1310
AMA ASSURANCE VIE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1311
AREZKI,ASSISTANCE JURIDIQUE ET FISCALE,2019,1312
ASSIOCIATION DES ACTEURS DE LA MEUNERIE,ASSISTANCE JURIDIQUE ET FISCALE,2017-2019,1313
BAL OPERATIONS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1314
BARRICK GOLD CORPORATION,ASSISTANCE JURIDIQUE ET FISCALE,2019,1315
BAOBAB,ASSISTANCE JURIDIQUE ET FISCALE,2019,1316
BAOBAB MALI,ASSISTANCE JURIDIQUE ET FISCALE,2019,1317
BICIM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1318
EDVT SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1319
EXOTIC AMILOS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1320
GTA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1321
GREENPEACE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1322
GEMALTO,ASSISTANCE JURIDIQUE ET FISCALE,2017-2019,1323
GOLAR,ASSISTANCE JURIDIQUE ET FISCALE,2019,1324
GOOGLE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1325
GREEN 2000,ASSISTANCE JURIDIQUE ET FISCALE,,1326
GRAND TORTUE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1327
HALLIBURTON,ASSISTANCE JURIDIQUE ET FISCALE,2019,1328
HELP LOGISTIC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1329
JAMIL SARL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1330
IAM GOLD,ASSISTANCE JURIDIQUE ET FISCALE,2019,1331
IBM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1332
ICS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1334
LASO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1335
LIGABUE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1336
MASTERCARD INTERNATIONAL INCORPORATED/BOAL & CO LTD,ASSISTANCE JURIDIQUE ET FISCALE,2019,1337
MAERSK,ASSISTANCE JURIDIQUE ET FISCALE,2019,1338
MAN ENERGY,ASSISTANCE JURIDIQUE ET FISCALE,2019,1339
MITSUBISHI HEAVY INDUSTRIES ENGINES & TURBOCHARGER,ASSISTANCE JURIDIQUE ET FISCALE,2019,1340
MEDTRONIC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1341
MERIDIAM,ASSISTANCE JURIDIQUE ET FISCALE,2016-2019,1342
NIYAZI METE SARACOGLU,ASSISTANCE JURIDIQUE ET FISCALE,2019,1343
OPM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1344
OTH,ASSISTANCE JURIDIQUE ET FISCALE,2019,1345
PATH,ASSISTANCE JURIDIQUE ET FISCALE,2019,1346
PETRONAS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1347
PETRO SERVICES,ASSISTANCE JURIDIQUE ET FISCALE,2019,1348
PETOWAL MINING COMPANY,ASSISTANCE JURIDIQUE ET FISCALE,2019,1349
PFIZER,ASSISTANCE JURIDIQUE ET FISCALE,2019,1350
PROJET OHM MIMOZA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1351
PSA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1352
DELOITTE TOTAL SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1353
RMG,ASSISTANCE JURIDIQUE ET FISCALE,2016-2019,1354
RANGOLD C/ MASSAWA,ASSISTANCE JURIDIQUE ET FISCALE,2017-2019,1355
SAR,ASSISTANCE JURIDIQUE ET FISCALE,2019,1356
SEDCO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1357
SHLUMBERGER SENEGAL (SERVICES PETROLIERS),ASSISTANCE JURIDIQUE ET FISCALE,2019,1358
SDE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1359
SEA INVERT,ASSISTANCE JURIDIQUE ET FISCALE,2019,1360
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1361
SOGAFRIQUE (SOGAFRIC),ASSISTANCE JURIDIQUE ET FISCALE,2019,1362
SPIE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1363
SPIS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1364
SUBSEA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1365
SVITZER,ASSISTANCE JURIDIQUE ET FISCALE,2019,1366
SYSTRA,ASSISTANCE JURIDIQUE ET FISCALE,2017-2019,1367
THALES,ASSISTANCE JURIDIQUE ET FISCALE,2019,1368
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1369
AREZKI,ASSISTANCE JURIDIQUE ET FISCALE,2019,1370
AMADOU DIALLO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1371
AFIG,ASSISTANCE JURIDIQUE ET FISCALE,2019,1372
ACT,ASSISTANCE JURIDIQUE ET FISCALE,2019,1373
AMS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1374
ADI SENEGAL (VIBE RADIO),ASSISTANCE JURIDIQUE ET FISCALE,2015,1375
AGEM,ASSISTANCE JURIDIQUE ET FISCALE,2015,1376
DELOITTE SENEGAL + CLIENTS,ASSISTANCE JURIDIQUE ET FISCALE,2012-2019,1377
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2009-2019,1378
FACEBOOK,ASSISTANCE JURIDIQUE ET FISCALE,2019,1379
FACEBOOK,ASSISTANCE JURIDIQUE ET FISCALE,2019,1380
FAR,ASSISTANCE JURIDIQUE ET FISCALE,2019,1381
FRAPORT,ASSISTANCE JURIDIQUE ET FISCALE,2019,1382
KALPA TARU,ASSISTANCE JURIDIQUE ET FISCALE,2019,1383
KINAYA LAB SASU,ASSISTANCE JURIDIQUE ET FISCALE,2019,1384
KANSALA RESOURCE SA,ASSISTANCE JURIDIQUE ET FISCALE,,1385
MAN ENERGY,ASSISTANCE JURIDIQUE ET FISCALE,2019,1386
MAERSK,ASSISTANCE JURIDIQUE ET FISCALE,2017,1387
MERIDIAM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1388
PATHE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1389
PETRO SERVICES,ASSISTANCE JURIDIQUE ET FISCALE,2019,1390
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1391
SMT,ASSISTANCE JURIDIQUE ET FISCALE,2019,1392
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2009-2019,1393
MERIDIAM,ASSISTANCE JURIDIQUE ET FISCALE,2019,1394
PETRONAS,ASSISTANCE JURIDIQUE ET FISCALE,2015-2019,1395
SAHE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1396
SAM  2V SAS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1397
SCL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1398
SENCA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1399
