Client,Description,Date,Numero-de-classement
SENDISO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1666
SENEGAL TOURS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1667
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2019,1668
SGBS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1669
SGS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1670
SIA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1671
SOCOPAO,ASSISTANCE JURIDIQUE ET FISCALE,2019,1672
SOPELA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1673
TAJ-TOTAL,ASSISTANCE JURIDIQUE ET FISCALE,2018-2019,1674
TECH MAHINDRA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1675
TECHNIP,ASSISTANCE JURIDIQUE ET FISCALE,2019,1676
TECHNOSUD,ASSISTANCE JURIDIQUE ET FISCALE,2019,1677
THALES,ASSISTANCE JURIDIQUE ET FISCALE,2019,1678
THERMAX,ASSISTANCE JURIDIQUE ET FISCALE,2019,1679
TOTAL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1680
TOTAL,ASSISTANCE JURIDIQUE ET FISCALE,2019,1681
TOTAL BURKINA,ASSISTANCE JURIDIQUE ET FISCALE,2019,1682
TOP EXPERTISE ET CONTROLE BTP,ASSISTANCE JURIDIQUE ET FISCALE,2017-2019,1683
TPD,ASSISTANCE JURIDIQUE ET FISCALE,2019,1684
TVS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1685
VAN HESSEN,ASSISTANCE JURIDIQUE ET FISCALE,2019,1686
WOODSIDE,ASSISTANCE JURIDIQUE ET FISCALE,2019,1687
YAPI MERKEZI,ASSISTANCE JURIDIQUE ET FISCALE,2019,1688
YUP,ASSISTANCE JURIDIQUE ET FISCALE,2019,1689
AP. MOELLER CAPITAL P/5,ASSISTANCE JURIDIQUE ET FISCALE,2020,1691
CAPRICORN,ASSISTANCE JURIDIQUE ET FISCALE,2020,1692
SALAMA FIKIRA (HENMAN JAMES MICHAEL EDWARD),ASSISTANCE JURIDIQUE ET FISCALE,2020,1693
SCTSN,ASSISTANCE JURIDIQUE ET FISCALE,2020,1694
SEA INVEST SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2020,1695
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2020,1696
SPIE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1697
CORIS BANK,ASSISTANCE JURIDIQUE ET FISCALE,2020,1698
SUBSEA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1699
SYSTRA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1700
ACT,ASSISTANCE JURIDIQUE ET FISCALE,2020,1701
AMS,ASSISTANCE JURIDIQUE ET FISCALE,2019-2020,1702
AMSA ASSURANCE VIE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1703
AREZKI,ASSISTANCE JURIDIQUE ET FISCALE,2020,1704
ATERSA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1705
BAL OPERATIONS,ASSISTANCE JURIDIQUE ET FISCALE,2020,1706
BARRICK KOLISI PROJECT,ASSISTANCE JURIDIQUE ET FISCALE,2020,1707
BFCI BANK,ASSISTANCE JURIDIQUE ET FISCALE,2020,1708
BNDE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1709
BULK MINING EXPLOSIVES MALI,ASSISTANCE JURIDIQUE ET FISCALE,2020,1710
CAPRICORN,ASSISTANCE JURIDIQUE ET FISCALE,2020,1711
CIS (CLUB DES INVESTISSEURS DU SENEGAL),ASSISTANCE JURIDIQUE ET FISCALE,2020,1712
CLUB MED,ASSISTANCE JURIDIQUE ET FISCALE,2020,1713
CORIS BANK,ASSISTANCE JURIDIQUE ET FISCALE,2020,1714
DAVID ALAIN PATRICK MARIE GRISLAIN,ASSISTANCE JURIDIQUE ET FISCALE,2020,1715
DELOITTE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1716
HALLIBURTON SENEGAL SASU,ASSISTANCE JURIDIQUE ET FISCALE,2020,1718
CSS VDN HELP LOGISTIC,ASSISTANCE JURIDIQUE ET FISCALE,2020,1719
EURONA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1720
GEMALTO,ASSISTANCE JURIDIQUE ET FISCALE,2020,1721
GOOGLE,ASSISTANCE JURIDIQUE ET FISCALE,2020,1722
GTA,ASSISTANCE JURIDIQUE ET FISCALE,2020,1723
HELP LOGISTIC,ASSISTANCE JURIDIQUE ET FISCALE,2020,1724
LASO,ASSISTANCE JURIDIQUE ET FISCALE,2020,1725
MAERSK,ASSISTANCE JURIDIQUE ET FISCALE,2020,1726
MAN DIESEL,ASSISTANCE JURIDIQUE ET FISCALE,2020,1727
MEDTRONIC,ASSISTANCE JURIDIQUE ET FISCALE,2020,1728
MERIDIAM,ASSISTANCE JURIDIQUE ET FISCALE,2019-2020,1729
MHIET,ASSISTANCE JURIDIQUE ET FISCALE,2020,1730
OTH,ASSISTANCE JURIDIQUE ET FISCALE,2020,1731
IMPACT OIL,ASSISTANCE JURIDIQUE ET FISCALE,2020,1690
