Client,Description,Date,Numero-de-classement
GTA Environment,DE 1/2,31/12/2011,6851
GTA ,DE 2/2,31/12/2011,6852
LASA,DE,2011,6853
DELOITTE SENEGAL,DE BACKGROUND CHECK,2012,6854
BICIS,ANALYSES DE COMPTES DE 1/3,2012,6855
BICIS,ANALYSES DE COMPTES (PBE),2012,6856
BICIS,ANALYSES DE COMPTES DE 3/3,2012,6857
BSIC,AGO 14EM - CA 40EME DE,2012,6858
BSIC,DE CA,2012,6859
BSIC,DE,2012,6860
CBAO,DE CA du 08 Août,2012,6861
COMMISION EUROPEENNE OFFICE DE COOPERATION EUROPEAID,AUDIT FINANCIER DU PROJET (RENOUVELLEMENT DU PORT MINERALIER  A NOUADHIBOU) 8 ACP MAU 46,2012,6862
GTA,DE,31/12/2012,6863
PADERCA, DE, 2012,6864
PEPAM BA,DE,2012,6865
SGBS,DE INTERIM (1),31/12/2012,6866
SATS,DE MANUEL DES PROCEDURES VERSION FINALE,01/12/2012,6867
SERVAIR,DE INVENTAIRE IMMO,2012,6868
TNS RMS,DE,31/12/2012,6869
UBA,DE CA,2012,6870
ANTRAK,DE FINAL 1/1,31/12/2013,6871
BCS,DE,2013,6872
BCS,DE RAPPORT CAC,2013,6873
BDK,DE CONTRATS BIA,2013,6874
BSIC,DE AGO 16EME 44EME CA,2013,6875
CBAO,DE CA,2013,6876
CBAO,DE CA ,2013,6877
CESAG AFRICAN CAPICITY BULDING CREATION,DE,2012-2013,6878
CMS,DE JUSTIFICATION DES COMPTES (PHASE 2),2013,6879
CMS,DE JUSTIF DES COMPTES 3/3,31/12/2013,6880
DELOITTE,DE CONTROLE QUALITE APPENDIX C2,2013,6881
DEMNGALAM,DE 2/2,2012-2013,6882
DRILLCORP SAHARA,DE INTERIM & FINAL 2/2,31/12/2013,6883
ESD,DE CAC,2013,6884
DELOITTE,DE FICHE ACCEPTATION MFD 1/1,2012-2013,6885
GTA ENVIRONMENT,DE,31/12/2013,6886
GTA ENVIRONMENT,DE,2013,6887
KAMA,DE 1/2,2013,6888
LABORATOIRE DE SOUZA,DE REVUE FINANCIERE ET COMPTABLE 1/1,2013,6889
BTLS,DE LIASSE CONSOLIDATION,2013,6890
MTOA,DE FINAL,2013,6891
MSF,DE INTERIM & PREFINAL 1,31/12/2013,6892
SENSTOCK,DE,2013,6893
SATS,DE,2013,6894
SNEDAI,DE 1,2013,6895
SEREP,DE 2/2,31/12/2013,1919
TNS RMS,DE 1,31/12/2013,6896
TRANSMED,DE,2013,6897
TNS RMS,DE PREFINAL & FINAL 2/2,31/12/2013,6898
UBA,DE AGO JUIN,2013,6899
UBA,DE CA,2013,6900
UNITECH,DE MISSION EVALUATION 1/2,2013,6901
UNITECH,DE MISSION EVALUATION 2/2,2013,6902
WAF,DE POINT D'AUDIT 1/1,2013,6903
BCS,DE 1,2014,6904
BCS,DE 2,2014,6905
BCS,DE,2014,6906
BCS,DE RAPPORTS D'AUDIT,2014,6907
BICIS,DE CLASSE 3,31/10/2014,6908
BISIC,DE  17EME AGO - 50EME SESSION CA,2014,6909
CBAO,DE REPONSES AVOCATS,2014,6910
DELOITTE,DE VALIDATION DECLARATION CA PORT BTLS,2014,6911
DIGITAL TECHNOLOGIES,DE FINAL 2/2,2014,6912
EUROPEAN INSVESTMENT BANK,DE,2014,6913
GCO,DE REC 3/3,NOVEMBRE 2014,6914
GCO,DE CAC PREFINAL 1,31/11/2014,6915
GTA ENVIRONMENT,DE,31/12/2014,6916
ALS,DE LIASSE CONSO,30/06/2014,6917
RADDHO,DE 2/2,2014,6918
TNS KANTAR,DE INTERIM & FINAL 1/1,31/12/2014,6919
TNS RMS SENEGAL,DE FINAL 1/1,31/12/2014,6920
UBA,DE CA 14 MARS,2014,6921
UBA,DE DOCUMENT DU CA,12/09/2014,6922
UNITECH MOTORS,DE MISSION D'EVALUATION FINANCIERE 1/1,30/06/2014,6923
WAF,DE POINT D'AUDIT 1/1,2014,6924
ADDOHA,DE 1/1,2015,6925
ADP,DE FINAL 1/2,31/12/2015,6926
ADP,DE FINAL 2/2,31/12/2015,6927
AFRICA CAPITAL,DE 1/1,31/12/2015,6928
AIMS,DE 1,31/06/2015-31/12/2015,6929
ALLIANCE,DE 1/1,31/12/2015,6930
ALS,DE PREFINAL 1/2,31/10/2015,6931
ALS,DE PREFINAL 2/2,31/10/2015,6932
ALS,DE REVUE LIMITEE 1/4,31/05/2015,6933
ALS,DE REVUE LIMITEE 2/4,31/05/2015,6934
ALS,DE REVUE LIMITEE 3/4,31/05/2015,6935
ALS,DE REVUE LIMITEE 4/4,31/05/2015,6936
ALS,DE FINAL 1/5,31/12/2015,6937
ALS,DE FINAL 2/5,31/12/2015,6938
ALS,DE FINAL 3/5,31/12/2015,6939
ALS,DE FINAL 4/5,31/12/2015,6940
ALS,DE FINAL 5/5,31/12/2015,6941
ANTRAK,DE FINAL,31/12/2015,6942
ARC WFP SENEGAL,DE,31/12/2015,6943
ARC WFP SENEGAL,DE FINAL 2/2,31/12/2015,6944
ATLAS COPCO,DE,31/12/2015,6945
ATOS,DE FINAL 1,31/12/2015,6946
BIA,DE 1/2,31/12/2015,6947
BIA DAKAR,DE 2/2,31/12/2015,6948
BICIS,DE INTERIM 1/1,31/12/2015,6949
BICIS,DE INTERIM 2/2,31/12/2015,6950
BSIC,DE 56EME CA,2015,6951
BSIC,DE 18EME AGO - 53EME CA,2015,6952
BSIC,DE FINAL 1/1,31/12/2015,6953
BSIC,DE INTERIM - PREFINAL 1/2,31/12/2015,6954
BULL,DE,31/12/2015,6955
CBAO BURKINA FASO,DE 1,31/12/2015,6956
CBAO,DE CA 17 SEPTEMBRE,2015,6957
CBAO,DE FINAL 1,31/12/2015,6958
CBAO,DE REVUE LIMITEE 1/1,31/05/2015,6959
CBAO,DE PREFINAL 1,30/06/2015-30/11/2015,6960
CBAO NIGER,DE 1,31/12/2015,6961
CFAO EQUIPEMENT,DE 1,31/12/2015,6962
CFAO INVENTAIRE ET CIRCULS,DE,31/12/2015,6963
CFAO MOTORS,DE FINAL 1,31/12/2015,6964
CFAO MOTORS,DE 1,31/12/2015,6965
CFAO MOTORS,DE PROCEDURES CONVENUES1/1, 2015,6966
CFAO TECHNO,DE 1/3,31/12/2015,6967
CFAO TECHNO,DE 2/3,31/12/2015,6968
CFAO TECHNOLOGIE,DE FINAL 4/4,31/12/2015,6969
CES,DE 1,31/12/2015,6970
CMEC,DE 1/1,31/12/2015,6971
CREDIT INTERNATIONAL,DE 1,31/12/2015,6972
DAKAR CATERING,DE FINAL 1/1,31/12/2015,6973
DAKAR TERMINAL,DE INTERIM & FINAL CAC,31/12/2015,6974
DAKAR TERMINAL,DE PREFINAL 1/2,31/12/2015,6975
DAKAR TERMINAL,DE FINAL 2/2,31/12/2015,6976
DAKAR TERMINAL,DE 1/2,31/12/2015,6977
DAKAR TERMINAL,DE PREFINAL (CR) 2/2,31/12/2015,6978
DAKAR TERMINAL,DE 3/3,31/12/2015,6979
DANGOTE,DE INTERIM 1/1,31/12/2015,6980
DIGITAL ECHNOLOGIES,DE,31/12/2015,6981
EL MASA SENEGAL,DE 1,31/12/2015,6982
ESD,DE PREFINAL 1/1,31/12/2015,6983
ESD,DE FINAL 1/1,31/12/2015,6984
GCO,DE 1/2,31/12/2015,6985
GCO SYSCOA,DE,31/12/2015,6986
GCO,DE 2/2,31/12/2015,6987
GTA,DE 1/1,31/12/2015,6988
HAVAS,DE 1/2,31/12/2015,6989
HAVAS,DE FINAL 2/2,31/12/2015,6990
HOTEL KAMA,DE 1/1,31/12/2015,6991
IKAGEL,DE 1,31/12/2015,6992
IKAGEL,DE FINAL 2,31/12/2015,6993
IKAGEL,DE INTERIM & PREFINAL 1,31/12/2015,6994
INDUSTRIES ORIENTALES,DE 1/1,31/12/2015,6995
KTM ADVANCE,DE 1,31/12/2015,6996
LASA,DE 1,31/12/2015,6997
LASA,DE 2,31/12/2015,6998
LASA DE 3,31/12/2015,,6999
LASA,DE 4/4,31/12/2015,7000
LCI,DE FINAL 1/2,31/12/2015,7001
LCI,DE FINAL 2/2,31/12/2015,7002
LCD,DE FINAL 1,31/12/2015,7003
LDC,DE 2,31/12/2015,7004
LDC,DE INTERIM & PREFINAL 1/1,31/12/2015,7005
LOXEA,DE 1,31/12/2015,7006
LOXEA,DE FINAL 1/1,31/12/2015,7007
MICROCRED,DE FINAL 1/2,31/12/2015,7008
MICROCRED,DE FINAL 2/2,31/12/2015,7009
MICROCRED,DE INTERIM & PREFINAL 1/2,31/12/2015,7010
MICROSOFT,DE FINAL 1/1,31/12/2015,7011
MILVIK,DE 1,31/12/2015,7012
MSC,DE INTERIM & FINAL 1,2015,7013
MSC,DE REPORTING,31/12/2015,7014
MTOA,DE INTERIM & PREFINAL 1,31/12/2015,7015
MTOA,DE INTERIM & PREFINAL 1/1,31/12/2015,7016
NEUROTECH,DE AG 1/2,31/12/2015,7017
NEUROTECH,DE 2/2,31/12/2015,7018
ORYX,DE FINAL 1/2,31/12/2015,7019
ORYX,DE FINAL 2/2,31/12/2015,7020
ORYX,DE INTERIM & PREFINAL 1/2,31/12/2015,7021
ORYX,DE INTERIM & PREFINAL 2/2,31/12/2015,7022
PADD,DE FY 2015,31/12/2015,7023
PADD,DE FY 2O15,31/12/2015,7024
PEACOCK INVESTMENTS,DE DOSSIER TECHNIQUE 1/1,2015,7025
PEACOCK,DE PI,2011-2015,7026
PGRC,DE AG,31/12/2015,7027
PHONE GROUP SENEGAL,DE CAC 1/1,31/12/2015,7028
PREMIUM,DE FINAL 1/2,31/12/2015,7029
SAIF MANKO,DE 1/1,31/12/2015,7030
SAII,DE FINAL 1/1,31/12/2015,7031
SAPIN,DE 1/2,31/12/2015,7032
SAPIN,DE 2/2,31/12/2015,7033
SCL,DE 1/1,31/12/2015,7034
SENDISO,DE,31/12/2015,7035
SENCA,DE 1/2,31/12/2015,7036
PREMIUM,DE FINAL 2/2,31/12/2015,7037
SENAGAL TOURS,DE FINAL 1,31/12/2015,7038
SN TOURS,DE 1/2,31/12/2015,7039
SEREP,DE FINAL 1/2,31/12/2015,7040
SEREP,DE FINAL 2/2,31/12/2015,7041
SGBS,DE,AVRIL 2015,7042
SGBS,DE 7000 1/2,31/12/2015,7043
SGBS,DE 7000 2/2,31/12/2015,7044
SGBS,DE FINAL 1/2,31/12/2015,7045
SGBS,DE PREFINAL 2/2,31/12/2015,7046
SGBS,DE INTERIM & PREFINAL 2/2,31/12/2015,7047
SGS,DE FINAL 1/2,31/12/2015,7048
SGS,DE FINAL 2/2,31/12/2015,7049
SMSA,DE FINAL 2016,31/12/2015,7050
SOCOPAO,DE PREFINAL 1/1,31/12/2015,7051
SOCOPAO,DE FINAL 1/1,31/12/2015,7052
SOPELA,DE 1,31/12/2015,7053
SODISEN,DE LIQUIDATION 2016 FINAL 1,31/12/2015,7054
SGS,DE SYNTHESE 1/1,31/12/2015,7055
TATA,DE INTERIM - PREFINAL & FINAL 1/1,31/12/2015,7056
TCS,DE FINAL 1/1,31/12/2015,7057
TERMCOTANK,DE 1/1,31/12/2015,7058
TNS KANTAR,INTERIM & FINAL 1/1,31/12/2015,7059
TNS RMS SENEGAL,DE FINAL 1/1,31/12/2015,7060
TOM,DE 1,31/12/2015,7061
TOM,DE FINAL 2,31/12/2015,7062
TRANSMED,DE 2/2,31/12/2015,7063
UBA,DE AG ORDINAIRE ET EXTRAORDINAIRE,2015,7064
UBA SENEGAL,DE CA 20 MARS 25EME REUNION,2015,7065
UBA SENEGAL,DE CA 18 JUIN 26EME REUNION,2015,7066
UBA,DE CA 02 OCTOBRE 27EME REUNION,2015,7067
UBA SENEGAL,DE RAPPORTS COMITES 1 - 20 MARS 25EME REUNION,2015,7068
UBA,DE CONSEIL D'ADMINISTRATION 11 DECEMBRE 28EME REUNION,2015,7069
UBA SENEGAL,DE INTERIM 1,31/12/2015,7070
UBA SENEGAL,DE REVUE LIMITEE 1/2,31/12/2015,7071
UBA SENEGAL,DE PREFINAL 2/2,31/12/2015,7072
UBA,DE RAPPORTS COMITES AU CA 1 - REUNION DU 10 DECEMBRE 28EME SESSION,2015,7073
UNITECH,DE FINAL 1/2,31/12/2015,7074
UNITECH,DE FINAL 2/2,31/12/2015,7075
WAF,DE INTERIM & FINAL 1,31/12/2015,7076
WAFA ASSURANCE NON VIE,DE INTERIM/PREFINAL,31/12/2015,7077
WFP MAURITANIE,DE 1/1,31/12/2015,7078
WFP NIGER,DE 1/2,31/12/2015,7079
WFP NIGER,DE 2/2,31/12/2015,7080
WAFA CASH AFRICA,DE FINAL 1,31/12/2015,7081
ADDOHA SENEGAL,DE AG 1/1,31/12/2016,7082
ADP,DE TRAVAUX D'INVENTAIRE 1/1,JUIN 2016,7083
ADP,DE AG 1/2,30/06/2016,7084
ADP,DE 2/2,30/06/2016,7085
ADP,DE 1/2,31/12/2016,7086
ADP,DE 2/2,31/12/2016,7087
AFRICASHOP,DE 1,31/12/2016,7088
AFRICASHOP,DE 1/1,31/12/2016,7089
ALS,DE REVUE LIMITEE AU 30/06/2016 1/3,31/12/2016,7090
ALS,DE REVUE LIMITEE AU 30/06/2016 2/3,31/12/2016,7091
ALS,DE REVUE LIMITEE AU 30/06/2016 3/3,31/12/2016,7092
AMREF,DE 1/1,31/12/2016,7093
ANTRAK,DE INTERIM & FINAL 1/1,31/12/2016,7094
SEREP,DE INTERIM & FINAL 1/2,31/12/2016,1918
ANTRAK SENEGAL,FINAL 1/1,31/12/2016,7095
ATLAS COPCO,DE 1/1,31/12/2016,7096
ATOS,DE PREFINAL / FINAL 1/2,31/12/2016,7097
BSIC SENEGAL SA,DE 58EME SESSION DU CA ,2016,7098
BSIC,DE FINAL 1/1,31/12/2016,7099
BICIS,DE FINAL 1/2,31/12/2016,7100
BICIS,DE FINAL 2/2,31/12/2016,7101
BICIS,DE PREFINAL 1/1,31/10/2016,7102
BTL,DE PREFINAL & FINAL 1/3,31/12/2016,7103
BTL,DE PREFINAL & FINAL 2/3,31/12/2016,7104
BTL,DE PREFINAL & FINAL 3/3,31/12/2016,7105
BTL,DE FINAL 1/4,31/12/2016,7106
BTL,DE FINAL 2/4,31/12/2016,7107
BTL,DE FINAL 3/4,31/12/2016,7108
BTL,DE FINAL 4/4,31/12/2016,7109
BULL,DE 1/1,31/12/2016,7110
BULL,DE,2016,7111
CBAO,DE CA COMPTE D'AUDIT ET DES COMPTES DU 01 FEVRIER,2016,7112
CBAO,DE CA DU 08 FEVRIER (CABINET DELOITTE),2016,7113
CBAO,DE COMITE D'AUDIT ET DES COMPTES,JUILLET 2016,7114
CBAO,DE CONSEIL D'ADMINISTRATION DU 12 OCTOBRE CABINET DELOITTE,2016,7115
CBAO,DE REVUE LIMITEE AU JUIN 1,2016,7116
CBAO,DE INTERIM & PREFINAL 1/2,31/12/2016,7117
CBAO,DE SUIVI COBA 1/1,31/12/2016,7118
CBAO,DE FINAL 1/3,31/12/2016,7119
CBAO,DE FINAL 2/3,31/12/2016,7120
CBAO,DE FINAL 3/3,31/12/2016,7121
CFAO,DE,2016,7122
CFAO MOTORS,DE PREFINAL 1/1,31/12/2016,7123
CFAO MOTORS,DE FINAL 1/2,31/12/2016,7124
CFAO MOTORS,DE INTERIM 1/2,31/12/2016,7125
CFAO MOTORS,DE INTERIM 2/2,31/12/2016,7126
CFAO MOTORS,DE INTERIM 3/3,31/12/2016,7127
CFAO MOTORS,DE FINAL 2/2,31/12/2016,7128
CFAO EQUIPEMENT,DE INTERIM ,31/12/2016,7129
CFAO EQUIPEMENT,DE PREFINAL 1/1,31/12/2016,7130
CFAO EQUIPEMENT,DE 1/2,31/12/2016,7131
CFAO EQUIPEMENT,DE FINAL 2/2,31/12/2016,7132
CFAO TECHNO,DE 2/2,31/12/2016,7133
CFAO TECHNOLOGIE,DE INTERIM 1,31/12/2016,7134
CFAO TECHNOLOGIE,DE PREFINAL 1/1,31/12/2016,7135
CFAO MOTORS,DE PROCEDURES CONVENUES FINAL 1/2,31/12/2016,7136
CFAO MOTORS,DE PROCEDURES CONVENUES FINAL 2/2,31/12/2016,7137
DELOITTE, DE CONTROLE QUALITE - APPENDIX C2 2016 1/1,09/2016,7138
CREDIT INTERNATIONAL,DE FINAL 1/2,31/12/2016,7139
CES,DE FINAL 1/2,31/12/2016,7140
CES,DE FINAL 2/2,31/12/2016,7141
CES,DE AUGMENTATION DE CAPITAL 1/3,31/12/2016,7142
CMEC,DE 1/1,31/12/2016,7143
DAKAR KATERING,DE FINAL 1/1,31/12/2016,7144
DAKAR KATERING,DE INTERIM & FINAL 1/2,31/12/2016,7145
DAKAR TERMINAL,DE FINAL 1/1,31/12/2016,7146
DAKAR TERMINAL,DE INTERIM & PREFINAL 1/2,31/12/2016,7147
DAKAR TERMINAL,DE INTERIM & PREFINAL 2/2,31/12/2016,7148
DANGOTE,DE 1/2,31/12/2016,7149
DANGOTE,DE 2/2,31/12/2016,7150
DANGOTE,DE AUGMENTATION DU CAPITAL,2016,7151
DANGOTE,DE ITIE 1,2015 & 2016,7152
DKT,DE 1/1,31/12/2016,7153
EL MASA SENEGAL,DE 1/1,31/12/2016,7154
ELOGEN,DE,31/12/2016,7155
ELOGEN,DE CAC 2016 1/1,31/12/2016,7156
GCO,DE,31/12/2016,7157
GCO,DE,31/12/2016,7158
GCO,DE ITIE 2015 ET 2016,31/12/2016,7159
GCO,DE REC COPIES AUDITEURS 12/16,2016,7160
GCO,DE,NOV 2016,7161
HAVAS MEDIA SENEGAL,DE FINAL 1/1,31/12/2016,7162
IKAGEL,DE 1/2,31/12/2016,7163
IKAGELD,DE 3,31/12/2016,7164
KWF KOULIKORO,DE MISSION DU 31 MARS 2016 1/1,31/12/2016,7165
KWF SIKASSO,DE MISSION DU 31 MARS 2016 1/1,31/12/2016,7166
KTM ADVANCE,DE INTERIM & FINAL 1/1,31/12/2016,7167
LASA,DE 1/3,31/12/2016,7168
LASA,DE 2/3,31/12/2016,7169
LASA,DE 3/3,31/12/2016,7170
LDC,DE INTERIM PREFINAL 1/1,31/12/2016,7171
LCI,DE DOSSIER RAPPORT 1/1,31/12/2016,7172
LDC,DE 1/2,31/12/2016,7173
LDC,DE 2/2,31/12/2016,7174
LE CREDIT INTERNATIONAL,DE INTERIM PREFINAL 1/2,31/12/2016,7175
LOXEA,DE PREFINAL 1/1,31/12/2016,7176
LOXEA,DE FINAL 1/1,31/12/2016,7177
LOXEA,DE 1/2,31/12/2016,7178
LOXEA,DE 2/2,31/12/2016,7179
MAERSK SENEGAL,DE DECLARATION,2016,7180
MACROFERTILE,DE FINAL 1/1,31/12/2016,7181
MICROSOFT,DE FINAL 1/1,31/12/2016,7182
MILVIK SENEGAL,DE QUALITE,2016,7183
MSC,DE INTERIM 1/1,31/12/2016,7184
MSC,DE 1/2,31/12/2016,7185
MSC,DE 2/2,31/12/2016,7186
MTOA,DE 1/2,31/12/2016,7187
MTOA,DE PREFINAL 1/2,31/12/2016,7188
MTOA SENEGAL,DE 2/2,31/12/2016,7189
MTOA,DE PREFINAL 2/2,31/10/2016 - 31/12/2016,7190
MILVIK SENEGAL,DE 1/1,31/12/2016,7191
NEUROTECH,DE 1/2,31/12/2016,7192
NEUROTECH,DE 2/2,31/12/2016,7193
ONG RAES,DE 1/1,31/12/2016,7194
ORYX MALI,DE INTERIM & PREFINAL 1/1,31/12/2016,7195
ORYX SENEGAL,DE FINAL 1/1,31/12/2016,7196
ORYX SENEGAL,DE INTERIM & FINAL 1/1,2016,7197
PADD,DE 1/2,31/12/2016,7198
PADD,DE 2/2,31/12/2016,7199
PEACOCK,DE,2011-2016,7200
PEACOCK,DE PIECES JUSTIFICATIVES,2016,7201
PEACOCK,DE,2016,7202
PEACOCK,DE REVUE FINALE 1/1,31/12/2016,7203
PHILIA,DE DOSSIER POINTAGE FINAL 1/1,31/12/2016,7204
PREMIUM,DE 1/1,31/12/2016,7205
PREMIUM,DE 1/1,30/09/2016,7206
SAPIN,DE 1/1,31/12/2016,7207
SGBS,DE CA 1/1,14/04/2016,7208
SGBS,DE REPONSES AVOCATS FINAL 1/1,31/12/2016,7209
SGBS,DE INTERIM PREFINAL 1/2,31/12/2016,7210
SGBS,DE 5000 2/2,31/12/2016,7211
SGBS,DE 5000 1/2,31/12/2016,7212
SGBS,DE 1/3,31/12/2016,7213
SGBS,DE PREFINAL 2/2,31/12/2016,7214
SGBS,DE 2/3,31/12/2016,7215
SGBS,DE 3/3,31/12/2016,7216
SAIF MANKO,DE 1/1,31/12/2016,7217
SAII,DE 1/1,31/12/2016,7218
SCL,DE INTERIM & PREFINAL 1/1,31/12/2016,7219
SENCA,DE INTERIM & PREFINAL 1/1,31/12/2016,7220
SENCA,DE FINAL 1/1,31/12/2016,7221
SENDISO,DE FINAL 1,31/12/2016,7222
SN TOURS,DE INTERIM & PREFINAL 1/2,31/12/2016,7223
SEREP,DE 1/2,,1918
SENEGAL TOURS,DE FINAL 1/1,31/12/2016,7224
SEREP,DE FINAL 1,31/12/2016,7225
SEREP,DE INTERIM & PREFINAL 1/2,31/12/2016,7226
SGBS,DE MAJ SYNTHESE 1,31/12/2016,7227
SGBS,DE FINAL 1,31/12/2016,7228
SGBS,DE FINAL 2,31/12/2016,7229
SOCOPA0,DE INTERIM & FINAL 1/1,31/12/2016,7230
SOCOPA0,DE FINAL 1/1,31/12/2016,7231
SOPELA,DE FINAL 1/1,31/12/2016,7232
SUNEOR,DE,2016,7233
SUNEOR,DE AUDIT CONTRACTUEL 1/3,2016,7234
SUNEOR,DE AUDIT CONTRACTUEL 2/3,2016,7235
SUNEOR,DE AUDIT CONTRACTUEL 3/3,2016,7236
TATA AFRICA SENEGAL,DE 2/2,31/12/2016,7237
TATA,DE PREFINAL 1/1,31/12/2016,7238
TATA AFRICA SENEGAL,DE 1/2,31/12/2016,7239
TCS,DE INTERIM FINAL 1,31/12/2016,7240
TERMINAL PETROLIER,DE 1/1,31/12/2016,7241
TIUS,DE INTERIM & PREFINAL 1/1,31/12/2016,7242
TNS KANTAR,DE INTERIM & FINAL 1/1,31/12/2016,7243
TRANSMED,DE FINAL 1/2,31/12/2016,7244
TRANSMED,DE 2/2,31/12/2016,7245
UBA,DE CA DU 26 FEVRIER 29EME REUNION,2016,7246
UBA,DE RAPPORT DES COMPTES AUX CA,2016,7247
UBA,DE CA + AG 24 JUIN,2016,7248
UBA,DE RAPPORT AUX COMPTES CA,2016,7249
UBA,DE CA DU 30 SEPTEMBRE 31EME REUNION,2016,7250
UBA,DE CA 1/1,02/12/2016,7151
UBA,DE FINAL 1/1,31/12/2016,7252
UBA,DE REVUE LIMITEE AU 30 JUIN 1/1,31/12/2016,7253
UBA,DE PREFINAL 1/2,31/12/2016,7254
UBA SENEGAL,DE INTERIM & PREFINAL 2/2,31/12/2016,7255
