Client,Description,Date,Numero-de-classement
HOTEL KAMA,DE 1/1,31/12/2015,6991
IKAGEL,DE 1,31/12/2015,6992
IKAGEL,DE FINAL 2,31/12/2015,6993
IKAGEL,DE INTERIM & PREFINAL 1,31/12/2015,6994
INDUSTRIES ORIENTALES,DE 1/1,31/12/2015,6995
KTM ADVANCE,DE 1,31/12/2015,6996
LASA,DE 1,31/12/2015,6997
LASA,DE 2,31/12/2015,6998
LASA DE 3,31/12/2015,,6999
LASA,DE 4/4,31/12/2015,7000
LCI,DE FINAL 1/2,31/12/2015,7001
LCI,DE FINAL 2/2,31/12/2015,7002
LCD,DE FINAL 1,31/12/2015,7003
LDC,DE 2,31/12/2015,7004
LDC,DE INTERIM & PREFINAL 1/1,31/12/2015,7005
LOXEA,DE 1,31/12/2015,7006
LOXEA,DE FINAL 1/1,31/12/2015,7007
MICROCRED,DE FINAL 1/2,31/12/2015,7008
MICROCRED,DE FINAL 2/2,31/12/2015,7009
MICROCRED,DE INTERIM & PREFINAL 1/2,31/12/2015,7010
MICROSOFT,DE FINAL 1/1,31/12/2015,7011
MILVIK,DE 1,31/12/2015,7012
MSC,DE INTERIM & FINAL 1,2015,7013
MSC,DE REPORTING,31/12/2015,7014
MTOA,DE INTERIM & PREFINAL 1,31/12/2015,7015
MTOA,DE INTERIM & PREFINAL 1/1,31/12/2015,7016
NEUROTECH,DE AG 1/2,31/12/2015,7017
NEUROTECH,DE 2/2,31/12/2015,7018
ORYX,DE FINAL 1/2,31/12/2015,7019
ORYX,DE FINAL 2/2,31/12/2015,7020
ORYX,DE INTERIM & PREFINAL 1/2,31/12/2015,7021
ORYX,DE INTERIM & PREFINAL 2/2,31/12/2015,7022
PADD,DE FY 2015,31/12/2015,7023
PADD,DE FY 2O15,31/12/2015,7024
PEACOCK INVESTMENTS,DE DOSSIER TECHNIQUE 1/1,2015,7025
PEACOCK,DE PI,2011-2015,7026
PGRC,DE AG,31/12/2015,7027
PHONE GROUP SENEGAL,DE CAC 1/1,31/12/2015,7028
PREMIUM,DE FINAL 1/2,31/12/2015,7029
SAIF MANKO,DE 1/1,31/12/2015,7030
SAII,DE FINAL 1/1,31/12/2015,7031
SAPIN,DE 1/2,31/12/2015,7032
SAPIN,DE 2/2,31/12/2015,7033
SCL,DE 1/1,31/12/2015,7034
SENDISO,DE,31/12/2015,7035
SENCA,DE 1/2,31/12/2015,7036
PREMIUM,DE FINAL 2/2,31/12/2015,7037
SENAGAL TOURS,DE FINAL 1,31/12/2015,7038
SN TOURS,DE 1/2,31/12/2015,7039
SEREP,DE FINAL 1/2,31/12/2015,7040
SEREP,DE FINAL 2/2,31/12/2015,7041
SGBS,DE,AVRIL 2015,7042
SGBS,DE 7000 1/2,31/12/2015,7043
SGBS,DE 7000 2/2,31/12/2015,7044
SGBS,DE FINAL 1/2,31/12/2015,7045
SGBS,DE PREFINAL 2/2,31/12/2015,7046
SGBS,DE INTERIM & PREFINAL 2/2,31/12/2015,7047
SGS,DE FINAL 1/2,31/12/2015,7048
SGS,DE FINAL 2/2,31/12/2015,7049
SMSA,DE FINAL 2016,31/12/2015,7050
SOCOPAO,DE PREFINAL 1/1,31/12/2015,7051
SOCOPAO,DE FINAL 1/1,31/12/2015,7052
SOPELA,DE 1,31/12/2015,7053
SODISEN,DE LIQUIDATION 2016 FINAL 1,31/12/2015,7054
SGS,DE SYNTHESE 1/1,31/12/2015,7055
TATA,DE INTERIM - PREFINAL & FINAL 1/1,31/12/2015,7056
TCS,DE FINAL 1/1,31/12/2015,7057
TERMCOTANK,DE 1/1,31/12/2015,7058
TNS KANTAR,INTERIM & FINAL 1/1,31/12/2015,7059
TNS RMS SENEGAL,DE FINAL 1/1,31/12/2015,7060
TOM,DE 1,31/12/2015,7061
TOM,DE FINAL 2,31/12/2015,7062
TRANSMED,DE 2/2,31/12/2015,7063
UBA,DE AG ORDINAIRE ET EXTRAORDINAIRE,2015,7064
UBA SENEGAL,DE CA 20 MARS 25EME REUNION,2015,7065
UBA SENEGAL,DE CA 18 JUIN 26EME REUNION,2015,7066
UBA,DE CA 02 OCTOBRE 27EME REUNION,2015,7067
UBA SENEGAL,DE RAPPORTS COMITES 1 - 20 MARS 25EME REUNION,2015,7068
UBA,DE CONSEIL D'ADMINISTRATION 11 DECEMBRE 28EME REUNION,2015,7069
UBA SENEGAL,DE INTERIM 1,31/12/2015,7070
UBA SENEGAL,DE REVUE LIMITEE 1/2,31/12/2015,7071
UBA SENEGAL,DE PREFINAL 2/2,31/12/2015,7072
UBA,DE RAPPORTS COMITES AU CA 1 - REUNION DU 10 DECEMBRE 28EME SESSION,2015,7073
UNITECH,DE FINAL 1/2,31/12/2015,7074
UNITECH,DE FINAL 2/2,31/12/2015,7075
WAF,DE INTERIM & FINAL 1,31/12/2015,7076
WAFA ASSURANCE NON VIE,DE INTERIM/PREFINAL,31/12/2015,7077
WFP MAURITANIE,DE 1/1,31/12/2015,7078
WFP NIGER,DE 1/2,31/12/2015,7079
WFP NIGER,DE 2/2,31/12/2015,7080
WAFA CASH AFRICA,DE FINAL 1,31/12/2015,7081
ADDOHA SENEGAL,DE AG 1/1,31/12/2016,7082
ADP,DE TRAVAUX D'INVENTAIRE 1/1,JUIN 2016,7083
ADP,DE AG 1/2,30/06/2016,7084
ADP,DE 2/2,30/06/2016,7085
ADP,DE 1/2,31/12/2016,7086
ADP,DE 2/2,31/12/2016,7087
AFRICASHOP,DE 1,31/12/2016,7088
