Client,Description,Date,Numero-de-classement
JF-HOTEL NEPTUNE,DPG DPJ DPF DPS 020-J&F,NA,988
JF-AJS,DP,2013,989
JF-ERICSSON SENEGAL,DPG DPF DPJ DPS 30-J&F,NA,990
JF-CIC SENEGAL,DE,2008-2011,991
JF-ERICSSON,IR 2010 ET 2011 1/1,2010-2011,992
JF-CIC SENEGAL,DE,2003-2018,993
JF-DANA PETROLEUM,DE,NA,994
JF-SMC,ARRETES MINISTERIELS PROTOCOLES D'ACCORD APPUIS,2012-2013,995
JF-THERMAX,CONTRATS DE TRAVAIL,2015,1006
JF-THERMAX,CONTRATS DE TRAVAIL,2016-2017,996
JF-CAPRICORN,STATEMENT OF ACCOUNT,2017,997
JF-WILHELMSEN,REVUE DA,MAI 2019,998
JF-MEDTRONIC, TAXES,999,
JF-BICIM,DECLARATIONS 2018 IS TVA/TAF ECT CONTROLES FISCAUX,2018,1000
JF-BICIM,DECLARATIONS IMPOTS MENSUELS TVA/TAF 2016-2017 BANQUE BICM MALI DECLARATIONS,2016-2017,1001
JF-ALTOUNIAN CONTRE BAKOU,EXPERTISE JUDICIAIRE 028-J&F,2002-2018,1002
JF-WEST AFRICA (WAE) / GB FOODS,DOSSIER ANNUEL,2018-2019,1003
JF-WOODSIDE,ASSISTANCE JURIDIQUE ET FISCALE,2016-2017,1004
JF-BICIM,DOCUMENTS COMPTABLES,2016-2018,1005
JF-DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,NA,779
JF-DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,1993-2003,4527
JF-DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,2008-2012,871
JF-DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,2008-2012,872
JF-DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,2008-2012,873
JF-DEJA ENREGISTRE,ASSISTANCE JURIDIQUE ET FISCALE,2008-2012,874
