Client,Description,Date,Numero-de-classement
FLEURLAIT,ASSISTANCE JURIDIQUE ET FISCALE,2008-2011,1024
KANSALA RESOURCE,ASSISTANCE JURIDIQUE ET FISCALE,2007,1025
MSC SENEGAL,JF REGISTRE DES PROCES VERBAUX DU CA,2001-2006,1026
FRAPORT,ASSISTANCE JURIDIQUE ET FISCALE,2009-2010,1027
FRAPORT,ASSISTANCE JURIDIQUE ET FISCALE,2010,1028
MSC SENEGAL,JF REGISTRE DES PROCES VERBAUX AUX AG ET CA,2004-2009,1029
SMR,ASSISTANCE JURIDIQUE ET FISCALE,1993-2000,1030
SATREC,ASSISTANCE JURIDIQUE ET FISCALE,2011,1031
ROYAM,ASSISTANCE JURIDIQUE ET FISCALE,1995-2011,1032
GUINNESS,ASSISTANCE JURIDIQUE ET FISCALE,2011,1033
COMPLEXE SALY MBOUR SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2011,1269
DELOITTE,ASSISTANCE JURIDIQUE ET FISCALE,2007-2011,1034
GREENPEACE,ASSISTANCE JURIDIQUE ET FISCALE,2011,1035
DELOITTE,JF CORRESPONDANCE CENTRE DES IMPOTS,2007-2011,1036
DELTA,ASSISTANCE JURIDIQUE ET FISCALE,2010-2011,1037
DELOITTE DUBAI (NOKIA FEE QUOTE),2001,,1038
OPHIR,ASSISTANCE JURIDIQUE ET FISCALE,2011,1039
OPHIR,JF AGC,2011,1040
WADE WALKER PROJECTS,ASSISTANCE JURIDIQUE ET FISCALE,2003,1041
MITSUBISHI CORPORATION,ASSISTANCE JURIDIQUE ET FISCALE,2009,1042
SOCIETE RIZICOLE DU DELTA,"NOV-DEC-2011,2010",,1043
TECHNOSUD,ASSISTANCE JURIDIQUE ET FISCALE,2011,1044
SOS KINDERDORF / SAVE THE CHILDREN,ASSISTANCE JURIDIQUE ET FISCALE,2011,1045
AGEM,ASSISTANCE JURIDIQUE ET FISCALE,2012,1046
BAT/TMC,ASSISTANCE JURIDIQUE ET FISCALE,2012,1047
BBC,ASSISTANCE JURIDIQUE ET FISCALE,2012,1048
BREADBOX,ASSISTANCE JURIDIQUE ET FISCALE,2012,1049
BSIC,JF AJ & F,2012,1050
